RowID,row_info,Date,party,Location,speaker,speaker_info,Question,topic,discourse_with_names,text
226,226,6/26/2019,Democrat,"Miami, Florida",BOOKER,Candidate,16.0,Supreme Court Nominees,booker im going to use of my seconds just to say theres one thing we dont all agree with when it comes to guns and i think its common sense and over percent of americans agree with me if you need a license to drive a car you should need a license to buy and own a firearm and not everybody in this field agrees with that but in states like connecticut that did that they saw percent drops in gun violence and percent drops in suicides we need to start having bold agendas on guns when it comes to the supreme court very clearly we i agree with my friend secretary castro we are going to get to votes in the senate this is a team sport whoever is our nominee needs to campaign in places like south carolina because we can elect jamie harrison they need to campaign in places like iowa because we can win a senate seat there this is about getting us back to having votes in the senate and more so that we cannot only balance the supreme court but start to pass an aggressive agenda that frankly isnt so aggressive because most of america agrees with the policy objectives of our party,im going to use of my seconds just to say theres one thing we dont all agree with when it comes to guns and i think its common sense and over percent of americans agree with me if you need a license to drive a car you should need a license to buy and own a firearm and not everybody in this field agrees with that but in states like connecticut that did that they saw percent drops in gun violence and percent drops in suicides we need to start having bold agendas on guns when it comes to the supreme court very clearly we i agree with my friend secretary castro we are going to get to votes in the senate this is a team sport whoever is our nominee needs to campaign in places like south carolina because we can elect jamie harrison they need to campaign in places like iowa because we can win a senate seat there this is about getting us back to having votes in the senate and more so that we cannot only balance the supreme court but start to pass an aggressive agenda that frankly isnt so aggressive because most of america agrees with the policy objectives of our party
82,82,6/26/2019,Democrat,"Miami, Florida",BOOKER,Candidate,8.0,Healthcare,booker which is every american having health care,which is every american having health care
988,584,6/27/2019,Democrat,"Miami, Florida",HOLT,Moderator,23.0,Their closing statements,holt inaudible thank you to everyone in the adrian ph arts center for hosting us here and our terrific audiences,inaudible thank you to everyone in the adrian ph arts center for hosting us here and our terrific audiences
680,276,6/27/2019,Democrat,"Miami, Florida",BALART,Candidate,11.0,Mayor Buttigieg speaks out on civil rights and the shooting in his hometown,balart vice president biden im going towere going to get to you hang on were going to get,vice president biden im going towere going to get to you hang on were going to get
84,84,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,8.0,Healthcare,holt i want to move back if i can to congresswoman gabbard,i want to move back if i can to congresswoman gabbard
31,31,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,4.0,breaking up of tech companies,guthrie but quickly senator booker you did say that you didnt think it was right to name names to name companies and single them out as senator warren has briefly why is that,but quickly senator booker you did say that you didnt think it was right to name names to name companies and single them out as senator warren has briefly why is that
466,62,6/27/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,5.0,"Rep. Swalwell and Biden on generational change, and Yang explains his economic plan",diaz balart so i get to understand you a little better so youre saying a month for everyone over but a value added tax so you can spend that on value added tax,balart so i get to understand you a little better so youre saying a month for everyone over but a value added tax so you can spend that on value added tax
132,132,6/26/2019,Democrat,"Miami, Florida",CASTRO,Candidate,12.0,Undocumented Immigrants,castro then it might as well be the same policy,then it might as well be the same policy
707,303,6/27/2019,Democrat,"Miami, Florida",BIDEN,Candidate,12.0,Sen. Harris dramatically confronts Biden on his civil rights record,biden i have supported the era from the very beginning when i ran for inaudible,i have supported the era from the very beginning when i ran for inaudible
291,291,6/26/2019,Democrat,"Miami, Florida",MADDOW,Candidate,19.0,LGBTQ,maddow senator thank you very much thirtysecond followup to you secretary castro this is a percent latino city here in miami you are the only latino democrat who is running here this year in the presidential race is that enough of an answer what senator klobuchar is describing there an economic justice agenda is that enough to mobilize latino voters to stand with the democratic party in a big way,senator thank you very much thirtysecond followup to you secretary castro this is a percent latino city here in miami you are the only latino democrat who is running here this year in the presidential race is that enough of an answer what senator klobuchar is describing there an economic justice agenda is that enough to mobilize latino voters to stand with the democratic party in a big way
552,148,6/27/2019,Democrat,"Miami, Florida",SWALWELL,Candidate,7.0,Candidates weigh in on healthcare,swalwell im one of those parents i was just in the emergency room with my eight month old,im one of those parents i was just in the emergency room with my eight month old
194,194,6/26/2019,Democrat,"Miami, Florida",TODD,Moderator,14.0,Guns,todd we are hearing our colleagues audio if the control room could turn off the mikes,we are hearing our colleagues audio if the control room could turn off the mikes
40,40,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,5.0,Gender Pay gap,holt all right thank you i want to put the same question to congresswoman gabbard your thoughts on equal pay,all right thank you i want to put the same question to congresswoman gabbard your thoughts on equal pay
272,272,6/26/2019,Democrat,"Miami, Florida",TODD,Moderator,18.0,Climate Change,todd thirty seconds all right seconds go,thirty seconds all right seconds go
941,537,6/27/2019,Democrat,"Miami, Florida",TODD,Moderator,21.0,Candidates on the first relationship they would reset as president,todd and congressman swalwell,and congressman swalwell
635,231,6/27/2019,Democrat,"Miami, Florida",HARRIS,Candidate,8.0,Candidates on how they would address undocumented immigrants,harris will tell them it is they who is the criminal it is wrong,will tell them it is they who is the criminal it is wrong
437,33,6/27/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3.0,Candidates are asked about socialism,guthrie thank you i want to be fair to all the candidates,thank you i want to be fair to all the candidates
302,302,6/26/2019,Democrat,"Miami, Florida",MADDOW,Candidate,20.0,Foreign Policy,maddow congresswoman gabbard im going to give you seconds actually to jump off what he said he described engagement as the problem,congresswoman gabbard im going to give you seconds actually to jump off what he said he described engagement as the problem
990,586,6/27/2019,Democrat,"Miami, Florida",HOLT,Moderator,23.0,Their closing statements,holt for savannah jose chuck and rachel im lester holt good night everyone from miami,for savannah jose chuck and rachel im lester holt good night everyone from miami
891,487,6/27/2019,Democrat,"Miami, Florida",SANDERS,Candidate,20.0,Candidates on gun control,sanders and thats what ive believed for many years,and thats what ive believed for many years
429,25,6/27/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,3.0,Candidates are asked about socialism,guthrie senator gillibrand seconds,senator gillibrand seconds
535,131,6/27/2019,Democrat,"Miami, Florida",HOLT,Moderator,7.0,Candidates weigh in on healthcare,holt thank you senatorsenator bennet a question for you do you want to keep a system that we have in place with obamacare and build on it you mentioned that a moment ago is that enough to get us to universal coverage,thank you senatorsenator bennet a question for you do you want to keep a system that we have in place with obamacare and build on it you mentioned that a moment ago is that enough to get us to universal coverage
581,177,6/27/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,8.0,Candidates on how they would address undocumented immigrants,diaz balart thank you very much senator harris last month more than migrants were apprehended at the southern border many of them are being detained including small children in private detention centers in florida and throughout our countries most of the candidates on this stage say the conditions in these facilities are abhorrent on january th if you are president what specifically would you do with the thousands of people,balart thank you very much senator harris last month more than migrants were apprehended at the southern border many of them are being detained including small children in private detention centers in florida and throughout our countries most of the candidates on this stage say the conditions in these facilities are abhorrent on january th if you are president what specifically would you do with the thousands of people
491,87,6/27/2019,Democrat,"Miami, Florida",(UNKNOWN),Candidate,5.0,"Rep. Swalwell and Biden on generational change, and Yang explains his economic plan",unknown inaudible comment,inaudible comment
182,182,6/26/2019,Democrat,"Miami, Florida",MADDOW,Candidate,14.0,Guns,maddow all right were going to start by recapping the rules twenty candidates qualified for this first democratic debate were going to hear from tonight more tomorrow the breakdown for each night was selected at random now the candidates will have seconds to answer seconds for a followup if necessary and we will be ruthless if necessary,all right were going to start by recapping the rules twenty candidates qualified for this first democratic debate were going to hear from tonight more tomorrow the breakdown for each night was selected at random now the candidates will have seconds to answer seconds for a followup if necessary and we will be ruthless if necessary
91,91,6/26/2019,Democrat,"Miami, Florida",HOLT,Moderator,9.0,Abortion,holt i am fascinated by this senator senator klobuchar,i am fascinated by this senator senator klobuchar
479,75,6/27/2019,Democrat,"Miami, Florida",GILLIBRAND,Candidate,5.0,"Rep. Swalwell and Biden on generational change, and Yang explains his economic plan",gillibrand before we move on,before we move on
659,255,6/27/2019,Democrat,"Miami, Florida",TODD,Moderator,10.0,Chuck Todd and Rachel Maddow take over without major technical difficulties,todd rachel i had a dream that weve done this before,rachel i had a dream that weve done this before
794,390,6/27/2019,Democrat,"Miami, Florida",SWALWELL,Candidate,17.0,On whether partisan gridlock would disappear,swalwell theres,theres
782,378,6/27/2019,Democrat,"Miami, Florida",BIDEN,Candidate,16.0,Candidates on climate,biden the first constitutional amendment to do that was introduced by me when i was a young senator,the first constitutional amendment to do that was introduced by me when i was a young senator
513,109,6/27/2019,Democrat,"Miami, Florida",HOLT,Moderator,7.0,Candidates weigh in on healthcare,holt time,time
465,61,6/27/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,5.0,"Rep. Swalwell and Biden on generational change, and Yang explains his economic plan",diaz balart oh so its difficult to do if you have companies like amazon trillion dollar tech companies paying literally in taxes while theyre closing percent of our stores now we need to put the american people in a position to benefit from all of these innovations in other parts of the economy and if we had a value added tax at even half the european level it would generate over billion in new revenue which combined with the money in our hands it would be the trickle up economy from our people families and communities up we would spend the money and circulate through our regional economies and neighborhoodscreating millions of jobs making our families stronger and healthier wed save money on things like incarceration homelessness services emergency room healthcare and just the value gains from having a stronger healthier mentally healthier population would increase gdp by billion this is the move we have to make particularly as technology is now automating away millions of americans jobs why donald trump is our president today that we automated away million manufacturing jobs in michigan ohio and pennsylvania and wisconsin and were about to do the same thing to millions of retail jobs call center jobs fast food jobs truck driving jobs on and on throughout the economy,balart oh so its difficult to do if you have companies like amazon trillion dollar tech companies paying literally in taxes while theyre closing percent of our stores now we need to put the american people in a position to benefit from all of these innovations in other parts of the economy and if we had a value added tax at even half the european level it would generate over billion in new revenue which combined with the money in our hands it would be the trickle up economy from our people families and communities up we would spend the money and circulate through our regional economies and neighborhoodscreating millions of jobs making our families stronger and healthier wed save money on things like incarceration homelessness services emergency room healthcare and just the value gains from having a stronger healthier mentally healthier population would increase gdp by billion this is the move we have to make particularly as technology is now automating away millions of americans jobs why donald trump is our president today that we automated away million manufacturing jobs in michigan ohio and pennsylvania and wisconsin and were about to do the same thing to millions of retail jobs call center jobs fast food jobs truck driving jobs on and on throughout the economy
482,78,6/27/2019,Democrat,"Miami, Florida",SANDERS,Candidate,5.0,"Rep. Swalwell and Biden on generational change, and Yang explains his economic plan",sanders let me respondthe issue if i may say,let me respondthe issue if i may say
283,283,6/26/2019,Democrat,"Miami, Florida",TODD,Moderator,19.0,LGBTQ,todd thank you congresswoman gabbard,thank you congresswoman gabbard
652,248,6/27/2019,Democrat,"Miami, Florida",BUTTIGIEG,Candidate,9.0,Yang and Mayor Buttigieg on concerns about China,buttigieg in our own infrastructure education we are never gonna be able to compete and if we really want to be an alternative a democratic alternative we actually have to demonstrate that we care about democratic values,in our own infrastructure education we are never gonna be able to compete and if we really want to be an alternative a democratic alternative we actually have to demonstrate that we care about democratic values
333,333,6/26/2019,Democrat,"Miami, Florida",TODD,Moderator,21.0,Biggest Geopolitical Threat,todd ok try to keep it at one slimmer than what weve been going here one or two words,ok try to keep it at one slimmer than what weve been going here one or two words
882,478,6/27/2019,Democrat,"Miami, Florida",SWALWELL,Candidate,20.0,Candidates on gun control,swalwell you leave million on the streets,you leave million on the streets
673,269,6/27/2019,Democrat,"Miami, Florida",SWALWELL,Candidate,11.0,Mayor Buttigieg speaks out on civil rights and the shooting in his hometown,swalwell inaudible you should fire the chief,inaudible you should fire the chief
624,220,6/27/2019,Democrat,"Miami, Florida",DIAZ-BALART,Candidate,8.0,Candidates on how they would address undocumented immigrants,diazbalart senator,senator
902,498,6/27/2019,Democrat,"Miami, Florida",BUTTIGIEG,Candidate,20.0,Candidates on gun control,buttigieg yeah of course because we trained on some of these kinds of weapons look every part of my life experience informs this being the mayor of a city where the worst part of the job is dealing with violence wewe lose aas many as were lost at parkland every two or three years in my city alone and this is tearing communities apart if more guns made us safer we be the safest country on earth it doesnt work that way and commonsense measures like universal background checks cant seem to get delivered by washington even when most republicans let alone most americans agree its the right thing to do and as somebody who trained on weapons of war i can tell you that there are weapons that have absolutely no place in american cities or neighborhoods in peacetime ever,yeah of course because we trained on some of these kinds of weapons look every part of my life experience informs this being the mayor of a city where the worst part of the job is dealing with violence wewe lose aas many as were lost at parkland every two or three years in my city alone and this is tearing communities apart if more guns made us safer we be the safest country on earth it doesnt work that way and commonsense measures like universal background checks cant seem to get delivered by washington even when most republicans let alone most americans agree its the right thing to do and as somebody who trained on weapons of war i can tell you that there are weapons that have absolutely no place in american cities or neighborhoods in peacetime ever
239,239,6/26/2019,Democrat,"Miami, Florida",DELANEY,Candidate,17.0,Mitch McConnell,delaney i think we need to get things done thats why i believe we need to operate in a bipartisan manner listen i will sign into law bills that come to the white house that are passed on a partyline basis absolutely but all the big transformative things weve ever done in this countrys history have happened when huge majorities of the american people get behind them which is why we need real solutions not impossible promises we need to put forth ideas that work whether its on health care creating universal health care so that every american gets health care but not running on making private insurance illegal the gun issue is related the gun safety issue is related because i cant tell you how many times ive been with folks in western maryland and theyve said to me you know democrats dont do anything for us republicans dont do anything for us you fight all the time so they vote on that single issue,i think we need to get things done thats why i believe we need to operate in a bipartisan manner listen i will sign into law bills that come to the white house that are passed on a partyline basis absolutely but all the big transformative things weve ever done in this countrys history have happened when huge majorities of the american people get behind them which is why we need real solutions not impossible promises we need to put forth ideas that work whether its on health care creating universal health care so that every american gets health care but not running on making private insurance illegal the gun issue is related the gun safety issue is related because i cant tell you how many times ive been with folks in western maryland and theyve said to me you know democrats dont do anything for us republicans dont do anything for us you fight all the time so they vote on that single issue
685,281,6/27/2019,Democrat,"Miami, Florida",MADDOW,Candidate,12.0,Sen. Harris dramatically confronts Biden on his civil rights record,maddow i willsenator harris if i couldif i could preface,i willsenator harris if i couldif i could preface
543,139,6/27/2019,Democrat,"Miami, Florida",HARRIS,Candidate,7.0,Candidates weigh in on healthcare,harris on this issueon this issue we have to think about how this affects real people,on this issueon this issue we have to think about how this affects real people
836,432,6/27/2019,Democrat,"Miami, Florida",TODD,Moderator,19.0,Candidates on what their first issue would be if elected,todd senator gillibrand,senator gillibrand
829,425,6/27/2019,Democrat,"Miami, Florida",WILLIAMSON,Candidate,18.0,Marianne Williamson invokes John F. Kennedy,williamson then you will have it,then you will have it
375,375,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,23.0,Closing Statements,guthrie mayor de blasio mayor your closing statement,mayor de blasio mayor your closing statement
69,69,6/26/2019,Democrat,"Miami, Florida",OROURKE,Candidate,8.0,Healthcare,orourke who i listen to,who i listen to
550,146,6/27/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,7.0,Candidates weigh in on healthcare,guthrie i wanted to put it in,i wanted to put it in
452,48,6/27/2019,Democrat,"Miami, Florida",HOLT,Moderator,3.0,Candidates are asked about socialism,holt senator,senator
449,45,6/27/2019,Democrat,"Miami, Florida",BENNET,Candidate,3.0,Candidates are asked about socialism,bennet in bernies bill in bernies bill i wrote,in bernies bill in bernies bill i wrote
603,199,6/27/2019,Democrat,"Miami, Florida",BIDEN,Candidate,8.0,Candidates on how they would address undocumented immigrants,biden the first thing i would do is unite families i would surge immediately billions of dollars worth of help to the region the immediately look i talk about foreign policy i am the guy that got a bipartisan agreement at the very end of the campaign at the very end of our term to spend million to deal with the problem and that was to go to the root cause of why people are leaving in the first place it was working we saw as you know a net decrease in the number of children who were coming the crisis was updated and along came this president and he said he immediately discontinued that we all talk about these things i did it i did it now look second thingsecond thing we have to do the law now requires the reuniting of those families we would reunite those families period and if not we would put those children in a circumstance where they were safe until we could find their parents and lastly the idea that he is in court with his justice department saying children in cages do not need a bed do not need a blanket do not need a toothbrush,the first thing i would do is unite families i would surge immediately billions of dollars worth of help to the region the immediately look i talk about foreign policy i am the guy that got a bipartisan agreement at the very end of the campaign at the very end of our term to spend million to deal with the problem and that was to go to the root cause of why people are leaving in the first place it was working we saw as you know a net decrease in the number of children who were coming the crisis was updated and along came this president and he said he immediately discontinued that we all talk about these things i did it i did it now look second thingsecond thing we have to do the law now requires the reuniting of those families we would reunite those families period and if not we would put those children in a circumstance where they were safe until we could find their parents and lastly the idea that he is in court with his justice department saying children in cages do not need a bed do not need a blanket do not need a toothbrush
17,17,6/26/2019,Democrat,"Miami, Florida",GUTHRIE,Moderator,2.0,Klobuchar's rivals programs,guthrie thats time thank you,thats time thank you
534,130,6/27/2019,Democrat,"Miami, Florida",WILLIAMSON,Candidate,7.0,Candidates weigh in on healthcare,williamson it even has to do with environmental policies,it even has to do with environmental policies
308,308,6/26/2019,Democrat,"Miami, Florida",GABBARD,Candidate,20.0,Foreign Policy,gabbard the taliban was there long before we came in theyre going to be there long before we leave,the taliban was there long before we came in theyre going to be there long before we leave
176,176,6/26/2019,Democrat,"Miami, Florida",GABBARD,Candidate,13.0,Iran Nuclear Deal,gabbard look obviously if there was an attack against the american our troops then there would have to be a response but my point is and its important for us to recognize this is donald trump and his cabinet mike pompeo john bolton and others are creating a situation that just a spark would light off a war with iran which is incredibly dangerous thats why we need to deescalate tensions trump needs to get back into the iran nuclear deal and swallow his pride put the american people first,look obviously if there was an attack against the american our troops then there would have to be a response but my point is and its important for us to recognize this is donald trump and his cabinet mike pompeo john bolton and others are creating a situation that just a spark would light off a war with iran which is incredibly dangerous thats why we need to deescalate tensions trump needs to get back into the iran nuclear deal and swallow his pride put the american people first
966,562,6/27/2019,Democrat,"Miami, Florida",HOLT,Moderator,23.0,Their closing statements,holt thank you governor,thank you governor
501,97,6/27/2019,Democrat,"Miami, Florida",HARRIS,Candidate,6.0,Sen. Harris food fight moment,harris hey guys you know what america does not want to witness a food fight they want to know how were going to put food on their table so on that point part of the issue that is at play in america today and weve all been traveling around the country i certainly have im meeting people who are working two and three jobs you know this president walks around talking about and flouting his great economy right my great economy my great economy you ask him well how are you measuring this greatness of this economy of yours and he talks about the stock market well thats fine if you own stocks so many families in america do not you ask him how are you measuring the greatness of this economy of yours and they point to the jobless numbers and the unemployment numbers well yeah people in america are working theyre working two and three jobs so when we talk about jobs lets be very clear in our america no one should have to work more than one job to have a roof over their head and food on the table,hey guys you know what america does not want to witness a food fight they want to know how were going to put food on their table so on that point part of the issue that is at play in america today and weve all been traveling around the country i certainly have im meeting people who are working two and three jobs you know this president walks around talking about and flouting his great economy right my great economy my great economy you ask him well how are you measuring this greatness of this economy of yours and he talks about the stock market well thats fine if you own stocks so many families in america do not you ask him how are you measuring the greatness of this economy of yours and they point to the jobless numbers and the unemployment numbers well yeah people in america are working theyre working two and three jobs so when we talk about jobs lets be very clear in our america no one should have to work more than one job to have a roof over their head and food on the table
312,312,6/26/2019,Democrat,"Miami, Florida",GABBARD,Candidate,20.0,Foreign Policy,gabbard the taliban didnt attack us on al qaida did,the taliban didnt attack us on al qaida did
912,508,6/27/2019,Democrat,"Miami, Florida",HOLT,Moderator,20.0,Candidates on gun control,holt all right chuck this is a question from our viewers we put some suggestions that asked maybe they could share some of heres one that came from kathleen ph from canby oregon who writes many fear the current administration has inflicted irrevocable harm on our governing institutions and norms and in the process on our reputation abroad the question is what do you see as importance early steps in reversing the damage done and will put this one to senator bennet,all right chuck this is a question from our viewers we put some suggestions that asked maybe they could share some of heres one that came from kathleen ph from canby oregon who writes many fear the current administration has inflicted irrevocable harm on our governing institutions and norms and in the process on our reputation abroad the question is what do you see as importance early steps in reversing the damage done and will put this one to senator bennet
